topic	weight	words
0	0,02817	min deugd vol n't lust zieden kracht hart wiens roem leden ieder reden vreugde jeugd schoonheid glans zin vrouw waard 
1	0,01362	n't vvant vvat syn sou vvilt toch vvaer vaak vvil die't vvy vvie einde deur kom op't altyt scene vanden 
2	0,06372	lust rust vrolijk goed vreugde wereld schat ziel mens rijk rijkdom hoog god hert gemoed wens aards zorg weelde wellust 
3	0,01034	end dijn god deinen huur dyne dijnen fijn zek vrij myn hebst vast mit dyn volk weeg dyner gaar męr 
4	0,14393	zelf waar dit ander worden elk goed meest eigen weet anders maken best ieder alleen werk vinden zaak eerst iets 
5	0,01671	hun godt myn naar volk hen woord heil nooit dies heeren zoo zal hart zyn steeds goed elk worden recht 
6	0,04116	hun eens naer godt oft myn doden hert woord gheen mens vier pijn zondaar laet heel aen wees n't uyt 
7	0,00445	mof zein jan datsen knecht claes ian gieren kik lang kees mei wangt oud nauw mit lopen pieter jij jemie 
8	0,03469	god enten tis wort waard man deur elk diet zulk int tijd armen kleden hout zijd haren meest twist indië 
9	0,01512	venus comt lieffd lieffde reen pallas goden kunnen vol mars diana oock phoebus apollo gunst lieff vvant deur dies iuno 
10	0,04501	groen mey bloeien winter vreugde tijd vruchten groeien vol kruid zingen bloemen vrucht veld spruit planten scholen boom hof elk 
11	0,0296	haer wit schoonheid roos twee net rood scholen leden root mond gelijk witte ogen blank wangen rond glans voorhoofd hoofd 
12	0,0015	uwz fen god gunnen toe mei him naad sil uwt dear ijn hert ney oer for wol goads trog ynn 
13	0,04395	zich naar worden nog eens nooit jesus zeer god myn gods hun niets waar zien alles dood zyn zal zelf 
14	0,15809	god godt gods liefde wees heeren klaar heere christus reen wart recht fijn enten sijn laet zondaar hart wilt gheen 
15	0,14078	dood bloed ziel doden straf droef vol wreed sterven waar ach graf wee worden snood leed plagen fel zucht pijn 
16	0,0516	vrede twee vreugde trouw man bruydegom wens bruydt liefde bruyt vrouw echt paar mede band deugd geluk lieven min haer 
17	0,13314	godt wilt kwaad wereld tijd altijd mens deugd goed godts zonde sterven vlees volgen laet zoeken raad god wort blijven 
18	0,03836	ziel hert kom ach iesus iesu ben kracht leggen weer zidel weg lieven lust ten ren genade gunst eigen steeds 
19	0,0282	wijn drinken laet vrolijk bacchus wyn glas eens lustig bier nat bachus edel maken vol brengen vat schenk bom zingen 
20	0,00652	lieven ghoed waard elk enten maackt kwaad lust god deugd goods mens dees gheen waan zeer zyn begeren zelf elck 
21	0,0026	ich das mein vnnd mir ein mich nitt zei dir sein dich hertz lieb und jch mitt hab dein woll 
22	0,04383	strijd lijden vlees strijden bloed weeg moeten wereld vijand tegen worden geweld druk dood vroom christen vals poort kroon stad 
23	0,05321	vreugde tijd deugd jeugd jong jaar verheugd verblijd dag vrolijk verheugen verdriet haast blij wezen blijdschap pijn lang brengen wanneer 
24	0,00904	lief vader goed moeder boer ruyter alzo dag groen stout rijden kind fijn god slapen jong laten waar ginck onder 
25	0,0242	boos kwaad vergaan vrome god blijven vromen haer goddeloos zaad vol waard weeg goed mens zieden man zondaar sal sijn 
26	0,08518	god ben ziel heb mijne heere hert mijnen spreken hoog ogen dies hulp oor zieden laet mond schande hart lang 
27	0,00887	boer baard gelt zondaar boeren maken sou droefheid spelen goed hun hond werk credijt sol wort wever hondt koopman dief 
28	0,0566	zonde bloed doden jesu lijden wonden kruis siet iesu kruys pijn zondaar jesus godt schuld mens lam vol cruys sijn 
29	0,07163	lof zingen vreugde zang blij boven hoog loven hemels vrolijk prijs tong springen spel blijdschap nieuw stem horen spelen maken 
30	0,03058	maria moeder godt godts maeght soon hemels maghet zondaar vol zuiver groeten deugd boven troon maagd lof wezen reen maget 
31	0,05285	mede eens heel roepen bier krijgen ieder drinken best vier gat man hand schier weer twee eerst kermis spel ten 
32	0,02751	hemels god godes sint haer goods ziel deugd woord aen grond waer aard maeght hart bidden soon lof hof uyt 
33	0,04555	hoog rijk goud pracht kroon vol hof dragen ieder kleden edel waard verheven kleed sijn wereld pronk koningh gout schat 
34	0,07632	vijand macht hulp tegen kracht sterk hand strijd geweld zwaard handen onder bewaren fel vallen vast helpen schande hoofd boos 
35	0,02694	godt spreken israel heere coninck man david volk abraham gods heeren iacob dochter huis ginck ioseph daniel zelf wijf moyses 
36	0,03528	godt gods god mens gheen kwaad hert zonde zelf recht waard sijn deugd geven zond wet wart werk heeren straf 
37	0,01022	sijn lief vriend mijnen onder ghelijck miin ogen ben liefelijk barsten dochter vriendin siet wijn reuk stem mijne hof bruyt 
38	0,01094	godt hert ten zek godts woord mens waer lijk deuchdt ren sijn heil wij noden diep heen node hoop ach 
39	0,00351	naem peis eeuwig iesvs peys tijd bekwaam geven onser lustig welck wert gemoet reis deel kwaad strijd knecht besnijden vertrekken 
40	0,06308	min liefde zoo hart myn nog ziel hert ach nooit smart minnen zinnen eens zien zoete leggen zin beminnen vrij 
41	0,04503	kwaad elk gheen enten zondaar zieden heere gods dag blijven vol end menschen eeuwig sal vrij zulk over zaad ten 
42	0,18111	spreken zien waren laten roepen brengen haer twee heeft over ten zaak zondaar voort nemen denken dag mede drie sijn 
43	0,13923	ach hert min lief smart eens pijn ziel liefde hart heb droef beminnen trouw zin waard minnen sterven klacht zucht 
44	0,00398	zien sijn heel poot laurens top tijd kort hoofd duizend keel zat procris neus scho alhier rijden chia sól rozijn 
45	0,0084	nog hemel zieden sijn zich hemels leggen oog zondaar eeuwig ten heylig ligt heyl staat dalen soon siet maackt noden 
46	0,00486	lier vis let vangen tiere vissen tieren net couragie tuk kortjakje lie netten bek schuddegat courage midden angel coure levertje 
47	0,03137	herder vee harder min groen coridon herderin schaepjes herders cloris weide schapen tyter phillis harderin veld waer silvia laet trouw 
48	0,0104	zoo waard goods deur kerk godes zeer geloof wezen toe christus vlees hen aen dit toch waar nieuw iae man 
49	0,03056	kusje mond ach kussen kus lipje lusjes roosje lust kom zieltje lippen ziel kust vreugde lief nectar hertje eens blussen 
50	0,0086	godts jezus nooit ramp wort zoon kruis zelf zyn hemels ziel oog zich naar elk jesus godt heil schuld mens 
51	0,1002	gheen ghelijck soud zieden waar waer lang sou gheven iae zelf oft weet hart ding maken zegenen n't zulk wees 
52	0,01916	zoo god gods zeer iesus worden nog eeuwig ziel hert goed waar christus zoon onz heemels magge hoog nooit heere 
53	0,00362	hun dijn volk stad land gods kerk maraen brant bosch spaensche worden wesel leggen toch heren romen heil dij godes 
54	0,03011	water dorst vol ziel groeien drinken hoofd nat maken dauw vloeien regen wijn vrucht spijs dor vrede laven stroom vocht 
55	0,07079	trouw trouwen man vrouw spreken jong sou vrij ben min heb vragen dochter lief ander neen waar beminnen kind vrijen 
56	0,01155	prins geus moeten enten graef stad god geusen menig papen waard klein jck steden paus kloek maken binnen waren haerlem 
57	0,01166	hun godt fijn inder glijck goedheid eewicheyt oock heere naâm daerom worden siel sijn vanden maken helpen godts ghelijck einde 
58	0,01407	godt ziel godts haren haer blij zelf vinden troost vreugde hadd n't wees rust worden klaar zaak gheen pur weelde 
59	0,10243	liefde hert ziel vreugde lieven beminnen boven hart zin min alleen deugd eens waer eeuwig minnen liefd godt vol kracht 
60	0,02358	zee schip varen baren wind mede ree schipper zeil menig brengen schepen god boord land reis haven weer winden man 
61	0,00393	alleluia wijl noe likken zen licke zot tgun hout dirdon mesie evoë toen iesulein evoẽ menen net gemoed leed kant 
62	0,00735	neen min minne boire weeg wegh vrij alleen waarom houden gek soech vrouw minnen waerom heen glas brom sirih dom 
63	0,04411	heere wilt god zonde ende dijn godt ziel genade toch zondaar eeuwig maken dood hart bidden kwaad reen noot weeg 
64	0,04263	groen gras haer onder bos lust dicht son zien spelen aen zingen springen stromen blad heen langs bomen roepen nat 
65	0,09155	volk god hoog macht naâm grond heeren zek hand lof land zijne kracht huis over mens heere sijn gods geslacht 
66	0,07135	godt godts hemels eeuwig mensch godes woord doden doodt sal sijn heel heeren woordt menschen hoog hemel rijck kracht goed 
67	0,07226	wet recht woord kwaad waarheid tong spreken mond vals verstand hert schijn woorden mens wijsheid houden leer hart hoog reden 
68	0,04422	lief liefde hart enten hert reen princesse venus deur troost waar int eerbaar wees klaar haer minnen dienaar/diener vreugde pijn 
69	0,00797	hij ghij wij sij dij god ende toch zijd altyt alzo zeer minnen maagd willen groet kyrieleison binnen wijl vijf 
70	0,02819	zoo zeer zich zonder wezen zelfs zal ziet zien naar staat nooit zult mens heyligt zenden magge zinnen zeg verlaat 
71	0,02358	toch god och mens eeuwig horen laet moeten christus vlees godt vrienden tijd wereld verstaan laten kinderen toe zuster worden 
72	0,03434	spijs eten brood wijn drank drinken vlees honger tafel broden geven eed voeden lichaam broodt bloed vergeten zelf dis dorst 
73	0,05127	nog dog zeer zoo ben magge eens heb zoete lief weg worden myn leggen kind spreken heel waar tij komt 
74	0,01956	geloof godt paulus leer volk bekeren kerk godts eerst christus petrus paus kerck sint sijn naâm godes keyser leren christen 
75	0,04426	gods christus wart god spreken enten wereld ende gheen mens uan christum zelf dood sijn zondaar waard wees alleen wort 
76	0,01304	nieuw iaer jaar nieuwen jaer oude int nieuwe god klaar iaar iare oud nieuwejaer voorwaar zwaar wilt besnijden tijd zalig 
77	0,023	jij heb nauw kom meysje deur och eens vrij ben nou sou neen waar jou loop amor moer iou weet 
78	0,00149	alleluja tha tsa qui nobis mier cum iesv gloria iesu non rex mann off'er met'er verbum nos pater loeder quam 
79	0,00436	zeer god deur zoo jck gheen vul med zien ten vvant elk vedel vals wacht zonder zulk lijst goed zijde 
80	0,09076	zieden eens siet komt mede weer voort wilt vrij zondaar toe heen gaet horen god maken waar tijd weet zegge 
81	0,02852	kind stal geboren godt mens kinnetje klein kindt bethlehem moeder vinden gheboren herodes arm leed brengen doek nacht siet licht 
82	0,02454	mens hemel schepper siet geschapen aard lof dier boven werk sterren god denckt vee zee alle godt water aensiet zieden 
83	0,10419	lijden zwaar troost verdriet druk dood pijn noot hart vreugde smart sterven vol verblijden leed ten leiden tijd helpen kruis 
84	0,0022	vous kwee mon les qui poeder been plus pour bon suizen coeur vos que touwen sans pas nous cessie dans 
