topic	weight	words
0	0,01125	christus verrijzen jesus dood graf doden alleluja alleluya opstaan sterven maria ten thomas jesum dag hemel wees martha zonde macht 
1	0,00114	vive geus dobbe dop phyllis corydon knapkoek sintruyden cató toscanus port eglise acis oflaet pin phylli pok tswaert tonschuldich oorsaecx 
2	0,02449	maria moeder soon maeght godt hemels groeten godts maghet vol wezen maget dragen baren zuiver bidt kind hoog geboren boven 
3	0,1519	smart ach ziel droef dood zucht hert vol hart pijn tranen klagen zwaar sterven droevig druk rouw verdriet leed treuren 
4	0,01304	hof kleden koningh pracht kroon kleed prins goud slecht pronk sou vorst liever pralen rijk scepter dees rijck veracht koninghs 
5	0,00703	hij ghij wij ende sij alzo iesus kind maghet minnen maagd willen wereld zijd waard maria lof moeder boven kyrieleison 
6	0,0027	t'uwaarts t'uwaart uwaarts uwaart heulen gys lijf lysje jakus hebdy vast emanuel santio vagen weder nouw mert lijsje dese keer 
7	0,00443	wet woord mof heb houden recht rechten knecht gheboden leer weeg bevel waarheid wetten woorden verstand gebod lust geboden bevelen 
8	0,00623	coninck godt spreken noe stad heere drie loth laten mannen ginck dag oven israel noah werpen haer zondaar drinken doe 
9	0,00073	bom din weer lom bore lin dire brilin onder arent witte zang bloemmeken oyvaer naars ontvloogh songh verrijzen haerder koninghsken 
10	0,01099	hun god myn syn volk dies zek dag goed elk steeds nooit heere weg ziel recht staat geven blijven zieden 
11	0,00193	don meriton torment flon onbekend feridon luister spel meritene lyde pene ende koesteren maaghden rekenen verscheiden hierom arent bekomen zwak 
12	0,00367	honing minne zuigen beer bloem bloemen minnespel vliegen abra waar flora zien poot even agh honingh bijtje tong geur lag 
13	0,06079	vijand strijd geweld macht tegen veld strijden sterk bloed kloek hand brengen kracht sijn zwaard slaan menig vrij vechten ten 
14	0,00265	god zeer deur zoo zien vvant med elk huur zonder volk ende leeu aelst vul zulk zal altijd kerk nacht 
15	0,06654	nog dog zeer zoo myn eens magge zoete weg heb leggen zien zult wezen lang zonder ben tij staat zal 
16	0,02071	man vrouw wijf vrouwen vrouwe trouw trouwen mans lijf goed vrou adam twee huis been vouw echt mannen haer huys 
17	0,0027	dier voren ghelijck schijnen tellen breken bergh basan berg voet vruchtbaar ghetal sina zwart rook stout delen kop verstrooid coninghen 
18	0,0018	haag leye tussen pater barbara fal jas met'er off'er klooster plat eerst paar jassen leydzendam isser paters willem horen bezorgd 
19	0,05436	godt gods tijd recht liefde dag scheiden wilt heeren moeten godts god hart fijn werk enten heere eeuwig vrienden laet 
20	0,01232	zoo zeer worden iesus nog onz waar heemels eeuwig goed weereld wees weerelds staat gods deez zelfs heemel nooit gemoed 
21	0,00228	amor hosanna loov fillis hallelujah geef halelujah wit kom heyl quyne geloov nooit fortis lov iehova jehova blonde all davids 
22	0,01417	godts hemels godt worden wereldt godes landt hemel elk woord eeuwig zalig heil wereldts stadt mede staag rijck throon huys 
23	0,01663	deur poort open wacht roepen kloppen botten sluiten treden smal licht eng ziele lampen binnen dwaas waken bruydegom stem weeg 
24	0,02445	waren waard enten dood zaak heeren haren haer zondaar spreken mede twee binnen ten moeten horen laten god lang vier 
25	0,00538	ghoed elk lust maackt enten waard deugd kwaad goods mens gheen waan lieven god dees waarheid zeer zyn zelf elck 
26	0,00948	godt hun naar hen zyn heil zich zal woord opdat zoo myn volk hart vijands zeer heeren loof godts nooit 
27	0,01292	herder schapen schaepkens weide herders wolf harder wacht schaap zoeken schaepken stal voeden slapen wolven arm onder weiden verliezen goed 
28	0,11675	godt vader god wees loven boven geven heere sijn mens prijs godts laet prijzen altijd hart eeuwig lof waard wilt 
29	0,02841	wijn drinken bacchus glas nat wyn vrolijk bier vat eens bachus lustig laet vol edel schenk venus brengen schenken maken 
30	0,00511	godts ramp wort nooit zich zyn hemels zoon jesus zelf kruis naar godt sterk wereld mens vader ooit elk zie 
31	0,00287	zein miin besje datsen waeltje gieren zien waaltje pieter margriet jemie denken hum arent kees lang besjen worden besjes nauw 
32	0,00157	alleen glas waar hendrick zingen waarom zedig weeg grond min beuzeling roep vredig thijs moeten segh dansen dochters fraai dochter 
33	0,26213	waar eens sou lang tijd zieden wees waer ten zondaar blijven toe laten zelf weet haast worden ander soud denken 
34	0,00452	wiens zek sijn worden mits daarom zieden gelijk dit reden dees siet leiden hard thans heden staag heeft bereid aarde 
