	Num_Documents	Perc_Documents
28	1151	0.0516
39	1094	0.0491
38	1092	0.049
18	878	0.0394
9	815	0.0366
0	756	0.0339
24	618	0.0277
2	591	0.0265
13	591	0.0265
27	532	0.0239
6	521	0.0234
31	518	0.0232
4	512	0.023
30	506	0.0227
7	499	0.0224
14	498	0.0223
21	477	0.0214
47	477	0.0214
44	465	0.0209
40	464	0.0208
19	452	0.0203
36	436	0.0196
49	432	0.0194
5	427	0.0192
12	422	0.0189
16	406	0.0182
3	395	0.0177
1	390	0.0175
35	388	0.0174
46	386	0.0173
10	383	0.0172
29	378	0.017
48	377	0.0169
23	355	0.0159
34	351	0.0157
32	340	0.0152
42	339	0.0152
37	280	0.0126
8	268	0.012
11	253	0.0113
26	250	0.0112
15	248	0.0111
17	244	0.0109
22	227	0.0102
25	201	0.009
33	187	0.0084
45	140	0.0063
41	124	0.0056
43	97	0.0044
20	66	0.003
