	category	id	location	incnormid	herdrukid	year
0	amusement	115588	None	7020.0	920847.0	1708.0
1	amusement	115588	None	7020.0		1694.0
2	love and sex	37007	Brussels, Belgium	11846.0	915670.0	1684.0
3	love and sex	37007	Brussels, Belgium	11846.0		1677.0
4	love and sex	27214	Dordrecht, The Netherlands	27800.0		1598.0
5	None	191688	Antwerp, Belgium	34576.0		1722.0
6	seasons and annual events	111936	Amsterdam, The Netherlands	20878.0		1650.0
7	None	182192	Amsterdam, The Netherlands	54942.0	917566.0	1746.0
8	None	182192	Amsterdam, The Netherlands	54942.0		1737.0
9	love and sex	130720	Amsterdam, The Netherlands	22834.0	912657.0	1750.0
10	love and sex	130720	Amsterdam, The Netherlands	22834.0	920189.0	1745.0
11	love and sex	130720	Amsterdam, The Netherlands	22834.0	927025.0	1712.0
12	love and sex	130720	Amsterdam, The Netherlands	22834.0		1711.0
13	None	159796	None	22847.0		1700.0
14	None	178758	Amsterdam, The Netherlands	63929.0	923987.0	1736.0
15	None	178758	Amsterdam, The Netherlands	63929.0		1714.0
16	None	185825	Leuven, Belgium	80214.0		1605.0
17	religion	9914	Haarlem, The Netherlands	8992.0	905698.0	1598.0
18	religion	9914	Haarlem, The Netherlands	8992.0	905699.0	1598.0
19	religion	9914	Haarlem, The Netherlands	8992.0	913635.0	1601.0
20	religion	9914	Haarlem, The Netherlands	8992.0		1595.0
21	amusement	34268	Brussels, Belgium	48442.0	915778.0	1688.0
22	amusement	34268	Brussels, Belgium	48442.0	915832.0	1654.0
23	amusement	34268	Brussels, Belgium	48442.0	916156.0	1656.0
24	amusement	34268	Brussels, Belgium	48442.0		1650.0
25	None	1390	Amsterdam, The Netherlands	20646.0		1613.0
26	politics and history	28641	Mechelen, Belgium	19474.0		1560.0
27	love and sex	2841	Leiden, The Netherlands	3127.0		1590.0
28	cycle of life	21103	Zaandam, The Netherlands	20177.0	912178.0	1668.0
29	cycle of life	21103	Zaandam, The Netherlands	20177.0		1649.0
30	None	163378	Amsterdam, The Netherlands	11031.0		1678.0
31	love and sex	20209	Amsterdam, The Netherlands	7008.0		1647.0
32	amusement	19488	Amsterdam, The Netherlands	36864.0		1677.0
33	cycle of life	21117	Zaandam, The Netherlands	20263.0	912222.0	1668.0
34	cycle of life	21117	Zaandam, The Netherlands	20263.0		1649.0
35	love and sex	2855	Leiden, The Netherlands	38255.0		1590.0
36	None	164403	Amsterdam, The Netherlands	55358.0		1730.0
37	None	155806	Hoorn, The Netherlands	11128.0		1661.0
38	religion	9900	Haarlem, The Netherlands	54712.0	905672.0	1598.0
39	religion	9900	Haarlem, The Netherlands	54712.0	905673.0	1598.0
40	religion	9900	Haarlem, The Netherlands	54712.0		1595.0
41	religion	176007	Deventer, The Netherlands	63399.0		1640.0
42	None	1384	Amsterdam, The Netherlands	17702.0		1613.0
43	religion	33513	None	16431.0		1614.0
44	love and sex	100191	Dordrecht, The Netherlands	22935.0		1746.0
45	love and sex	176	Amsterdam, The Netherlands	34950.0		1589.0
46	love and sex	111922	Amsterdam, The Netherlands	57275.0		1650.0
47	None	182186	Amsterdam, The Netherlands	17654.0	917561.0	1746.0
48	None	182186	Amsterdam, The Netherlands	17654.0		1737.0
49	None	159782	Amsterdam, The Netherlands	33560.0		1669.0
50	religion	22378	Wesel, Germany	49073.0	906531.0	1567.0
51	religion	22378	Wesel, Germany	49073.0	906930.0	1567.0
52	religion	22378	Wesel, Germany	49073.0		1565.0
53	None	185831	Leuven, Belgium	5765.0		1605.0
54	None	191844	Leeuwarden, The Netherlands	41642.0		1650.0
55	amusement	37013	Brussels, Belgium	52023.0	915676.0	1684.0
56	amusement	37013	Brussels, Belgium	52023.0		1677.0
57	cycle of life	114682	Antwerp, Belgium	46964.0		1645.0
58	religion	27200	Dordrecht, The Netherlands	32305.0		1598.0
59	politics and history	118090	Amsterdam, The Netherlands	39039.0		1731.0
60	work	34532	Antwerp, Belgium	54722.0	915411.0	1722.0
61	work	34532	Antwerp, Belgium	54722.0		1720.0
62	religion	9096	Utrecht, The Netherlands	38291.0	913256.0	1681.0
63	religion	9096	Utrecht, The Netherlands	38291.0	923733.0	1695.0
64	religion	9096	Utrecht, The Netherlands	38291.0	924218.0	1727.0
65	religion	9096	Utrecht, The Netherlands	38291.0	929575.0	1679.0
66	religion	9096	Utrecht, The Netherlands	38291.0		1676.0
67	None	185819	Leuven, Belgium	66549.0		1605.0
68	None	178764	Amsterdam, The Netherlands	64800.0		1740.0
69	love and sex	12293	Dordrecht, The Netherlands	2086.0		1639.0
70	None	152827	Amsterdam, The Netherlands	40838.0	924054.0	1702.0
71	None	152827	Amsterdam, The Netherlands	40838.0		1673.0
72	None	20547	Enkhuizen, The Netherlands	3552.0	921709.0	1655.0
73	None	20547	Enkhuizen, The Netherlands	3552.0	929760.0	1700.0
74	None	20547	Enkhuizen, The Netherlands	3552.0		1649.0
75	religion	11942	Amsterdam, The Netherlands	7874.0	922389.0	1649.0
76	religion	11942	Amsterdam, The Netherlands	7874.0		1648.0
77	love and sex	27228	Dordrecht, The Netherlands	45997.0		1598.0
78	amusement	20221	Amsterdam, The Netherlands	52118.0		1647.0
79	religion	26888	Nederrijn, The Netherlands	18064.0		1568.0
80	None	189945	Amsterdam, The Netherlands	69440.0		1713.0
81	love and sex	29563	Dordrecht, The Netherlands	57305.0		1600.0
