en,194485
ik,138531
die,109514
de,107274
in,103622
u,99256
van,97447
dat,94194
zijn,86448
een,76988
met,72575
al,65578
't,64659
is,64620
te,63850
mijn,63127
niet,60268
den,55597
ons,51513
het,50130
op,46461
als,45027
haar,41809
hebben,38833
’,37396
hei,36754
tot,36584
gij,34701
voor,34577
clitic,33391
om,32845
zullen,32715
hem,31061
door,30872
deze,30473
daar,30325
doen,30123
zo,29783
na,26778
dan,24952
nu,24614
t,24181
aan,23771
wat,23002
zij,22994
o,22714
wel,22694
hier,21815
leven,21659
want,21037
uw,20831
heer,20797
godt,20788
gaan,20127
uit,20102
god,19870
of,19656
maer,18663
noch,18515
geen,17600
hoe,17286
gei,17080
ook,16756
der,16509
hy,16392
zeggen,16259
wi,15767
was,15393
moet,15030
v,14841
maar,14640
daer,14404
bij,14199
ick,14070
staan,13898
men,13712
des,13538
‘,13445
eend,13372
wild,13310
soo,13264
zoet,13156
eer,13005
groot,12906
komen,12898
wil,12664
veel,12247
kan,11711
ziel,11606
sieren,11505
waar,11422
hert,11396
laat,11298
ghy,11263
mogen,11207
vreugde,10709
doch,10700
hart,10300
liefde,10263
sy,10105
schoon,9938
geest,9702
wie,9671
meer,9562
waard,8878
maken,8782
dus,8526
sullen,8513
mens,8433
hoog,8367
vol,8311
tijd,8307
eens,8254
goed,8249
gods,8031
wilt,8016
kwaad,7831
wees,7586
lief,7567
ten,7554
d,7349
zieden,7238
worden,7217
heere,7203
spreken,7122
min,6926
lang,6915
geven,6886
ben,6873
zondaar,6743
dag,6705
gy,6679
heb,6580
dood,6344
vrij,6274
laet,6232
sijn,6179
zelf,6172
zoo,6055
blijven,6018
toe,5907
grond,5800
eeuwig,5750
gheen,5731
recht,5671
brengen,5567
kracht,5546
wereld,5505
alleen,5501
hand,5497
