	category	id	lat	location	lon	year
0	amusement	115588	None	None	None	1694
1	politics and history	122324	52.0799838	The Hague, The Netherlands	4.3113461	1828
2	love and sex	37007	50.8465573	Brussels, Belgium	4.351697	1677
3	love and sex	27214	51.7958812	Dordrecht, The Netherlands	4.6779351	1598
4	None	191688	51.2211097	Antwerp, Belgium	4.3997081	1722
5	seasons and annual events	111936	52.3745403	Amsterdam, The Netherlands	4.89797550561798	1650
6	religion	120533	52.3885317	Haarlem, The Netherlands	4.6388048	1804
7	religion	23072	51.7958812	Dordrecht, The Netherlands	4.6779351	1525
8	None	182192	52.3745403	Amsterdam, The Netherlands	4.89797550561798	1737
9	love and sex	130720	52.3745403	Amsterdam, The Netherlands	4.89797550561798	1711
10	None	159796	None	None	None	1700
11	seasons and annual events	148843	52.3745403	Amsterdam, The Netherlands	4.89797550561798	1806
12	narratives	53595	None	None	None	1810
13	None	178758	52.3745403	Amsterdam, The Netherlands	4.89797550561798	1714
14	None	185825	50.879202	Leuven, Belgium	4.7011675	1605
15	religion	9914	52.3885317	Haarlem, The Netherlands	4.6388048	1595
16	None	184285	None	None	None	1794
17	amusement	34268	50.8465573	Brussels, Belgium	4.351697	1650
18	None	1390	52.3745403	Amsterdam, The Netherlands	4.89797550561798	1613
19	politics and history	28641	51.0281381	Mechelen, Belgium	4.4803453	1560
20	None	187954	51.4609007	Vlissingen, The Netherlands	3.5713468	1799
21	love and sex	2841	52.1598645	Leiden, The Netherlands	4.4824271	1590
22	cycle of life	21103	52.4424926	Zaandam, The Netherlands	4.8298607	1649
23	None	163378	52.3745403	Amsterdam, The Netherlands	4.89797550561798	1678
24	None	189979	52.2532272	Deventer, The Netherlands	6.1584725	1789
25	None	16963	None	None	None	1903
26	None	187940	51.4609007	Vlissingen, The Netherlands	3.5713468	1799
27	love and sex	20209	52.3745403	Amsterdam, The Netherlands	4.89797550561798	1647
28	amusement	19488	52.3745403	Amsterdam, The Netherlands	4.89797550561798	1677
29	cycle of life	21117	52.4424926	Zaandam, The Netherlands	4.8298607	1649
30	love and sex	2855	52.1598645	Leiden, The Netherlands	4.4824271	1590
31	None	164403	52.3745403	Amsterdam, The Netherlands	4.89797550561798	1730
32	None	155806	52.653272	Hoorn, The Netherlands	5.0735802	1661
33	religion	9900	52.3885317	Haarlem, The Netherlands	4.6388048	1595
34	religion	176007	52.2532272	Deventer, The Netherlands	6.1584725	1640
35	None	1384	52.3745403	Amsterdam, The Netherlands	4.89797550561798	1613
36	religion	33513	None	None	None	1614
37	love and sex	100191	51.7958812	Dordrecht, The Netherlands	4.6779351	1746
38	love and sex	176	52.3745403	Amsterdam, The Netherlands	4.89797550561798	1589
39	love and sex	111922	52.3745403	Amsterdam, The Netherlands	4.89797550561798	1650
40	None	182186	52.3745403	Amsterdam, The Netherlands	4.89797550561798	1737
41	None	159782	52.3745403	Amsterdam, The Netherlands	4.89797550561798	1669
42	religion	53581	None	None	None	1810
43	religion	22378	51.6576909	Wesel, Germany	6.617087	1565
44	None	183298	51.8296133	Gorinchem, The Netherlands	4.9738743	1752
45	None	185831	50.879202	Leuven, Belgium	4.7011675	1605
