	Num_Documents	Perc_Documents
24	1337	0.06
39	1113	0.0499
21	965	0.0433
4	952	0.0427
25	910	0.0408
38	903	0.0405
16	862	0.0387
26	859	0.0385
33	807	0.0362
15	759	0.034
30	671	0.0301
42	663	0.0297
37	576	0.0258
20	550	0.0247
22	510	0.0229
2	496	0.0222
11	492	0.0221
34	462	0.0207
6	459	0.0206
9	452	0.0203
3	430	0.0193
8	425	0.0191
41	407	0.0183
43	394	0.0177
29	369	0.0165
10	354	0.0159
28	351	0.0157
40	332	0.0149
47	330	0.0148
45	316	0.0142
5	267	0.012
49	260	0.0117
23	256	0.0115
19	252	0.0113
32	249	0.0112
18	246	0.011
14	241	0.0108
13	230	0.0103
17	224	0.01
48	218	0.0098
7	211	0.0095
27	176	0.0079
46	156	0.007
0	147	0.0066
31	144	0.0065
44	128	0.0057
1	121	0.0054
12	113	0.0051
36	94	0.0042
35	58	0.0026
