	topic	words
0	0	hun leven gods vreugde eeuwig godt heemels heemel vrome dood
1	1	du end dijn heer deinen huur fijn myn dyne zek
2	2	er nog jk zy dog zeer vader trouw kind adieu
3	3	heer iesus jesus christus petrus godt vinden weer zegge twee
4	4	mens leven lust rust zek hert ziel vreugde alles gemoed
5	5	vals mens tong boos haat elk schijn snood lust waarheid
6	6	wijn drinken sa bier glas boer lustig geld bacchus wy
7	7	godt volk israel heere coninck man heeren ginck david abraham
8	8	heer hun volk godt heeren heil woord naâm zek hen
9	9	leven wereld godt mens tijd eeuwig sterven doden dood zonde
10	10	schoonheid haer deugd lof scholen glans goud siet wit leven
11	11	jij er kom nauw ja och mede meysje weer zien
12	12	ich das mein vnnd mir ein mich jn nitt zei
13	13	kerk geloof gods eerst nieuw christus godes zeer eigen heer
14	14	stad waren moeten prins wy graef enten binnen menig laten
15	15	zek zee hand heen water volk bloed hemel weer af
16	16	gods enten zondaar leven heere elk heeren ghelijck fijn liefde
17	17	godt hert zek godts woord af waer kracht ramp leven
18	18	hij ende ic ghij vader wij alzo och willen moeder
19	19	end heer godt hen zien volk n't kracht myn dies
20	20	groen herder vee harder ach waer coridon schaepjes herderin onder
21	21	christus gods wart leven enten ende heere dood wereld mens
22	22	hert hun n't leven godt oft naer myn heel liefde
23	23	godt ziel godts vreugde vinden heer haren boven leven troost
24	24	ach hert leven smart hart pijn ziel droef sterven trouw
25	25	nog myn leven zeer liefde zoete dog zy nooit er
26	26	liefde enten hart deur troost vreugde ic reen hert zwaar
27	27	vreugde zingen vrolijk blij zang spelen wy springen verheugd lof
28	28	dijn end du heer godt dijnen dies dij alleluia godes
29	29	godt maria godts lof moeder hemels boven vreugde klaar zondaar
30	30	heer godt lof leven vader loven prijs hemel wy boven
31	31	le vous la qui kwee mon les vive ma dobbe
32	32	zee schip mede weer varen voort land prins wy landt
33	33	godt godts leven gods heer heeren werk hart altijd deugd
34	34	hemels godes heer sint haer leven deugd ziel goods maeght
35	35	la fa hu bom lier ta mi tiere tieren sol
36	36	du yn uwz dy fen gunnen mei az mof heer
37	37	mond venus leven kusje ach ziel brand kussen lust hart
38	38	sou ander tijd weet man neen denken waer weer haast
39	39	ziel zich nog gods leven hert heer zeer eeuwig nooit
40	40	bloed doden dood lijden kruis leven christus godt zonde vader
41	41	kind godt nieuw mens stal geboren iaer klein kinnetje moeder
42	42	heer ziel hert zonde leven mijne heere troost bidden och
43	43	vreugde man trouw leven vrede twee vrouw wens liefde bruydt
44	44	ha venus deur goden daphne cupido mars kleur ho diana
45	45	liefde hert ziel lieven hart beminnen vreugde liefd leven zin
46	46	licht nacht dag ogen son slaap zon gezicht duister stralen
47	47	heer godt heere hun fijn noot hart vijand enten helpen
48	48	vijand strijd tegen macht geweld strijden kracht sterk godt hulp
49	49	groen mey vruchten tijd vrucht groeien bloeien kruid veld winter
