	Num_Documents	Perc_Documents
49	1377	0.0618
3	1078	0.0483
0	993	0.0445
21	993	0.0445
40	962	0.0431
24	787	0.0353
42	770	0.0345
13	753	0.0338
30	704	0.0316
18	703	0.0315
26	698	0.0313
32	695	0.0312
25	646	0.029
4	643	0.0288
39	637	0.0286
29	579	0.026
9	511	0.0229
23	483	0.0217
15	429	0.0192
28	413	0.0185
27	403	0.0181
7	389	0.0174
12	381	0.0171
44	365	0.0164
22	351	0.0157
43	350	0.0157
19	338	0.0152
1	337	0.0151
41	328	0.0147
8	315	0.0141
48	305	0.0137
31	265	0.0119
14	262	0.0118
10	250	0.0112
36	248	0.0111
38	246	0.011
35	244	0.0109
11	241	0.0108
20	238	0.0107
33	219	0.0098
2	197	0.0088
47	178	0.008
6	163	0.0073
46	144	0.0065
16	133	0.006
37	125	0.0056
17	116	0.0052
45	113	0.0051
34	110	0.0049
5	89	0.004
