	topic	words
0	0	zo uit zich ook ziet waar laat naar zelf nooit
1	1	lof maria hemels godt moeder godts boven reyn bruydegom schoone
2	2	ook god heer kerk godes goods volk werd deur christus
3	3	ach hert lief min ziel pijn leven och hart smert
4	4	heer godt heere vader lof onse naem herten geest onsen
5	5	hun godt leeven gaat vrolyk laat quaat waar geeven weesen
6	6	ic lief es ooc moeder vader god ruyter man miin
7	7	godt kindt stal kindeken nieuwe moeder kint iaer geboren mensch
8	8	hart wiens gelijk sich ook er word waar n't wijl
9	9	god laat uit leeven heer naa goed gods waar hert
10	10	prins jn jck graef paus soldaten schepen stadt onse spaensche
11	11	heer godt se hen wt sullen doer ouer dies n't
12	12	herder vee groene harder coridon herders schaepjes herderin soete ey
13	13	man neen weet mee ander sou staen gelt maeckt huys
14	14	quam sprack sagh riep liet doe nam gaf gingh sey
15	15	hemels heer god godes sint hart goods maeght lof groote
16	16	hij sij mij ghij gij wij dij bij sall vive
17	17	liefde liefd hert iesu ziel lief soete iesus min herte
18	18	nog ook 'er jk zo sprak lief dog er ziet
19	19	heer jesus ook iesus nogh seydt godt vader alleluja christus
20	20	ich das mein vnnd mir je vous ein le la
21	21	godt leven ziel godts heer goedt eeuwigh mensch vreught tijdt
22	22	godt gods god mensch quaet wet hert wert recht menschen
23	23	doodt godt sonden heer leven christus mensch bloedt lijden ziel
24	24	leuen christus wt nv gods heere woort god doot godt
25	25	heer dijn godt dy god heere hun wt du dies
26	26	leven ghelijck oft gheven ooghen gheeft teghen gheest tijdt boven
27	27	och doot lijden heere werelt godt noot comt verdriet herte
28	28	god heer sich hand sijne hert lof goed vreughd dood
29	29	lief liefde hert adieu liefste troost reyn ic princesse mocht
30	30	ziel hert heer god nog geest ook gods laat hemel
31	31	la fa bruydt vrolijck bruydegom twee man bruyt paer vreught
32	32	soete min venus minne ach hemel licht schoone wiens glans
33	33	godt volck godts hulp landt macht hooft tegen vyanden strijden
34	34	dy yn soe uwz mey jon fen god az heer
35	35	godt hert sich godts quaedt loff wordt vw zich ziel
36	36	sprack waren godt quam gods eenen quamen heeren wt hadden
37	37	sprack godt man heere quam abraham vader israel water huys
38	38	mey vruchten groen groene lof winter boomen vrucht onder schoone
39	39	leven heer geven god sullen gelijck komen oogen heere dagen
40	40	godt hert oft liefde leven vreught godts heer heel n't
41	41	vreucht comt liefd vvant deucht deur venus n't vvilt reyn
42	42	gods godt christus heeren woort sullen godts desen heer hoort
43	43	wijn sa drincken wyn bier boer drinckt eenen bacchus nat
44	44	heer hun uit ook godt god volk heeren naar heere
45	45	ha n't waar laat gaat ho gaan va dies staat
46	46	zee schip baren varen mee ree winden schipper voort landt
47	47	mit dyn god du dy ghoed zo dynen unde elck
48	48	jou je jy nou kom ja meysje ey hey och
49	49	min zo laat liefde hert nog zoet ach zoete ziel
