id	top1	top2	top3
186989	topic 38	topic 18	topic 7
3644	topic 8	topic 10	topic 2
38949	topic 26	topic 24	topic 1
114233	topic 4	topic 48	topic 14
19987	topic 43	topic 19	topic 18
186751	topic 35	topic 7	topic 49
36964	topic 48	topic 4	topic 17
38791	topic 18	topic 21	topic 0
118409	topic 0	topic 10	topic 7
100246	topic 30	topic 38	topic 47
116424	topic 28	topic 18	topic 27
150471	topic 33	topic 36	topic 18
8711	topic 11	topic 24	topic 34
8077	topic 18	topic 31	topic 42
119071	topic 24	topic 30	topic 29
116342	topic 28	topic 18	topic 10
13272	topic 42	topic 7	topic 5
115893	topic 39	topic 41	topic 27
114555	topic 7	topic 39	topic 42
186037	topic 38	topic 23	topic 27
189304	topic 39	topic 27	topic 3
11465	topic 3	topic 14	topic 24
3122	topic 32	topic 10	topic 14
20860	topic 44	topic 5	topic 19
112124	topic 38	topic 14	topic 47
115887	topic 39	topic 28	topic 24
186023	topic 24	topic 11	topic 26
114541	topic 47	topic 31	topic 39
2228	topic 19	topic 16	topic 22
11471	topic 47	topic 3	topic 34
20874	topic 44	topic 42	topic 5
3136	topic 25	topic 3	topic 47
4659	topic 22	topic 7	topic 11
180452	topic 24	topic 19	topic 48
111439	topic 48	topic 38	topic 44
8063	topic 13	topic 0	topic 15
193348	topic 40	topic 5	topic 15
184634	topic 42	topic 7	topic 1
116356	topic 28	topic 18	topic 19
158987	topic 40	topic 42	topic 16
13266	topic 42	topic 48	topic 10
156014	topic 30	topic 38	topic 39
6728	topic 46	topic 13	topic 27
100252	topic 38	topic 19	topic 18
13500	topic 44	topic 3	topic 27
161860	topic 38	topic 36	topic 39
150465	topic 18	topic 49	topic 33
8705	topic 23	topic 3	topic 39
3650	topic 8	topic 49	topic 21
36970	topic 4	topic 39	topic 14
186745	topic 35	topic 36	topic 38
19993	topic 11	topic 34	topic 24
10009	topic 38	topic 14	topic 47
114227	topic 4	topic 17	topic 0
38785	topic 48	topic 3	topic 13
34197	topic 47	topic 4	topic 39
117706	topic 16	topic 28	topic 42
13528	topic 10	topic 7	topic 8
116418	topic 28	topic 19	topic 27
33820	topic 40	topic 3	topic 19
157322	topic 39	topic 23	topic 36
3678	topic 8	topic 49	topic 29
188740	topic 17	topic 36	topic 10
26593	topic 13	topic 9	topic 47
2566	topic 10	topic 39	topic 12
10021	topic 47	topic 5	topic 16
36958	topic 4	topic 12	topic 26
155535	topic 17	topic 18	topic 27
20684	topic 44	topic 42	topic 19
2200	topic 38	topic 39	topic 23
10747	topic 3	topic 39	topic 24
114569	topic 27	topic 39	topic 21
4671	topic 22	topic 42	topic 36
22093	topic 16	topic 6	topic 18
12150	topic 45	topic 19	topic 18
118353	topic 49	topic 0	topic 31
6066	topic 0	topic 19	topic 1
22087	topic 1	topic 9	topic 5
157450	topic 34	topic 30	topic 23
184608	topic 10	topic 44	topic 1
119059	topic 11	topic 38	topic 19
14535	topic 1	topic 36	topic 19
20690	topic 44	topic 24	topic 7
2214	topic 38	topic 39	topic 19
191563	topic 35	topic 29	topic 24
10753	topic 47	topic 39	topic 27
20848	topic 44	topic 43	topic 19
115663	topic 28	topic 47	topic 19
187301	topic 36	topic 6	topic 42
4665	topic 22	topic 10	topic 42
163093	topic 19	topic 5	topic 18
38961	topic 5	topic 39	topic 42
26587	topic 37	topic 13	topic 1
186779	topic 35	topic 49	topic 37
10035	topic 3	topic 11	topic 28
155521	topic 18	topic 16	topic 13
34183	topic 39	topic 14	topic 4
6714	topic 4	topic 37	topic 49
117712	topic 28	topic 36	topic 17
149108	topic 36	topic 8	topic 0
150459	topic 33	topic 16	topic 27
148216	topic 31	topic 12	topic 19
33834	topic 40	topic 19	topic 44
32519	topic 39	topic 47	topic 13
6927	topic 14	topic 19	topic 12
117921	topic 28	topic 29	topic 16
129617	topic 47	topic 3	topic 30
34168	topic 29	topic 39	topic 4
12811	topic 46	topic 36	topic 19
186792	topic 35	topic 49	topic 19
19944	topic 49	topic 7	topic 32
2599	topic 27	topic 46	topic 10
21203	topic 29	topic 24	topic 34
163078	topic 30	topic 39	topic 10
3687	topic 8	topic 49	topic 36
36019	topic 27	topic 19	topic 7
10960	topic 20	topic 11	topic 21
180485	topic 46	topic 48	topic 24
21565	topic 9	topic 46	topic 19
115850	topic 23	topic 3	topic 10
162400	topic 39	topic 21	topic 48
27114	topic 15	topic 9	topic 32
191588	topic 15	topic 13	topic 40
161109	topic 30	topic 24	topic 14
6099	topic 0	topic 19	topic 48
178458	topic 1	topic 42	topic 27
35510	topic 1	topic 44	topic 14
25703	topic 31	topic 0	topic 13
116381	topic 28	topic 10	topic 38
24409	topic 2	topic 48	topic 9
158944	topic 34	topic 24	topic 19
159482	topic 46	topic 19	topic 1
35504	topic 46	topic 19	topic 4
156969	topic 22	topic 38	topic 3
116395	topic 23	topic 28	topic 3
164065	topic 24	topic 21	topic 19
31762	topic 5	topic 45	topic 49
10974	topic 21	topic 19	topic 10
21571	topic 9	topic 13	topic 46
180491	topic 28	topic 24	topic 19
115844	topic 38	topic 10	topic 46
114582	topic 3	topic 10	topic 7
27100	topic 32	topic 9	topic 19
19950	topic 11	topic 27	topic 23
186786	topic 35	topic 49	topic 36
27666	topic 2	topic 21	topic 18
20109	topic 47	topic 39	topic 7
188973	topic 0	topic 49	topic 21
21217	topic 18	topic 27	topic 39
3693	topic 8	topic 19	topic 46
129603	topic 41	topic 10	topic 28
117935	topic 16	topic 28	topic 7
179034	topic 36	topic 35	topic 28
12805	topic 16	topic 18	topic 7
176307	topic 3	topic 30	topic 29
19978	topic 43	topic 44	topic 19
20121	topic 34	topic 38	topic 36
186976	topic 27	topic 39	topic 38
32525	topic 39	topic 4	topic 23
192903	topic 38	topic 17	topic 35
34154	topic 29	topic 19	topic 4
8936	topic 6	topic 36	topic 47
118390	topic 19	topic 18	topic 8
34632	topic 10	topic 4	topic 39
8088	topic 31	topic 9	topic 18
22050	topic 9	topic 1	topic 0
1912	topic 48	topic 21	topic 2
21559	topic 9	topic 13	topic 0
36025	topic 5	topic 27	topic 42
27128	topic 9	topic 1	topic 21
10784	topic 1	topic 45	topic 49
162428	topic 19	topic 13	topic 15
115878	topic 24	topic 47	topic 34
158978	topic 46	topic 42	topic 39
13299	topic 48	topic 42	topic 0
184813	topic 4	topic 40	topic 35
34626	topic 14	topic 19	topic 4
147858	topic 0	topic 49	topic 19
1906	topic 21	topic 37	topic 14
157493	topic 30	topic 26	topic 24
147680	topic 28	topic 7	topic 36
32531	topic 27	topic 39	topic 4
160559	topic 39	topic 10	topic 37
12839	topic 40	topic 3	topic 22
34140	topic 14	topic 4	topic 1
179008	topic 35	topic 49	topic 1
24353	topic 0	topic 9	topic 1
8922	topic 6	topic 19	topic 7
20135	topic 38	topic 19	topic 30
186962	topic 38	topic 36	topic 28
191991	topic 31	topic 19	topic 0
180644	topic 17	topic 48	topic 38
190457	topic 2	topic 30	topic 19
115449	topic 0	topic 37	topic 46
189106	topic 31	topic 46	topic 21
114757	topic 16	topic 27	topic 38
173914	topic 18	topic 28	topic 19
13070	topic 40	topic 24	topic 3
35909	topic 7	topic 24	topic 21
1537	topic 6	topic 49	topic 12
184422	topic 28	topic 47	topic 7
119273	topic 28	topic 17	topic 10
7146	topic 40	topic 9	topic 19
178699	topic 35	topic 49	topic 36
184344	topic 28	topic 42	topic 35
116626	topic 3	topic 37	topic 19
119515	topic 34	topic 30	topic 3
149322	topic 33	topic 49	topic 7
117538	topic 16	topic 28	topic 7
192526	topic 11	topic 3	topic 30
130187	topic 38	topic 39	topic 7
156202	topic 24	topic 16	topic 13
5037	topic 48	topic 36	topic 18
26975	topic 41	topic 0	topic 19
2758	topic 49	topic 17	topic 0
189660	topic 28	topic 17	topic 15
114031	topic 10	topic 39	topic 47
3446	topic 18	topic 16	topic 0
2980	topic 16	topic 33	topic 18
180122	topic 35	topic 27	topic 28
4329	topic 41	topic 38	topic 23
187881	topic 7	topic 18	topic 3
5023	topic 46	topic 18	topic 31
187659	topic 0	topic 18	topic 24
2994	topic 2	topic 3	topic 9
19549	topic 38	topic 23	topic 28
150667	topic 33	topic 27	topic 49
184350	topic 28	topic 39	topic 0
119501	topic 38	topic 30	topic 39
192532	topic 27	topic 30	topic 47
100050	topic 23	topic 38	topic 24
130193	topic 39	topic 24	topic 38
9619	topic 13	topic 19	topic 7
156570	topic 30	topic 26	topic 32
185728	topic 3	topic 10	topic 15
13064	topic 18	topic 15	topic 16
1523	topic 2	topic 19	topic 1
184436	topic 28	topic 48	topic 42
7152	topic 9	topic 42	topic 1
180650	topic 13	topic 7	topic 15
3334	topic 21	topic 0	topic 37
190443	topic 47	topic 39	topic 27
