	incnormid	recordid	bronid	w_g	herdrukid	year	top1	top2	top3
0	4.0	118999	1001206	wereldlijk		1745.0	topic 45	topic 23	topic 29
1	7.0	111832	1001390	wereldlijk		1745.0	topic 23	topic 38	topic 11
2	7.0	136573	1001829	wereldlijk		1746.0	topic 23	topic 38	topic 11
3	13.0	19499	1000978	wereldlijk		1677.0	topic 34	topic 11	topic 38
4	53.0	20031	1001550	wereldlijk	928216.0	1654.0	topic 43	topic 45	topic 19
5	53.0	20031	1001025	wereldlijk		1655.0	topic 43	topic 45	topic 19
6	71.0	6245	1000738	wereldlijk		1659.0	topic 43	topic 19	topic 18
7	72.0	32562	1011033	wereldlijk		1667.0	topic 29	topic 26	topic 4
8	73.0	136601	1001829	wereldlijk		1746.0	topic 29	topic 30	topic 19
9	74.0	103064	1000696	wereldlijk		1656.0	topic 29	topic 39	topic 26
10	91.0	14847	1000113	geestelijk	906277.0	1566.0	topic 6	topic 49	topic 8
11	91.0	26828	1000109	geestelijk	906027.0	1561.0	topic 6	topic 49	topic 8
12	91.0	26828	1000111	geestelijk	906093.0	1561.0	topic 6	topic 49	topic 8
13	91.0	190196	1000112	geestelijk		1561.0	topic 6	topic 49	topic 8
14	91.0	14847	1000114	geestelijk		1566.0	topic 6	topic 49	topic 8
15	91.0	26828	1000446	geestelijk		1559.0	topic 6	topic 49	topic 8
16	109.0	116966	1001202	geestelijk		1709.0	topic 36	topic 38	topic 10
17	112.0	111775	1001390	wereldlijk		1745.0	topic 38	topic 3	topic 20
18	112.0	147330	1001829	wereldlijk		1746.0	topic 38	topic 3	topic 20
19	130.0	22279	1000137	geestelijk		1565.0	topic 6	topic 49	topic 9
20	130.0	22279	1000176	geestelijk	907157.0	1567.0	topic 6	topic 49	topic 9
21	130.0	22279	1000243	geestelijk	906513.0	1567.0	topic 6	topic 49	topic 9
22	138.0	6242	1000738	wereldlijk		1659.0	topic 23	topic 38	topic 3
23	138.0	186344	1001140	wereldlijk		1725.0	topic 23	topic 38	topic 3
24	141.0	116406	1001338	geestelijk	920504.0	1692.0	topic 28	topic 18	topic 16
25	141.0	118227	1001323	geestelijk		1732.0	topic 28	topic 18	topic 16
26	141.0	147332	1001304	geestelijk	910281.0	1736.0	topic 28	topic 18	topic 16
27	141.0	148207	1001307	geestelijk		1700.0	topic 28	topic 18	topic 16
28	141.0	116406	1016154	geestelijk		1681.0	topic 28	topic 18	topic 16
29	141.0	147332	1000977	geestelijk		1732.0	topic 28	topic 18	topic 16
30	142.0	150595	1010500	geestelijk		1630.0	topic 33	topic 36	topic 10
31	142.0	150595	1001282	geestelijk	917315.0	1694.0	topic 33	topic 36	topic 10
32	143.0	34059	1011050	geestelijk		1660.0	topic 0	topic 4	topic 1
33	144.0	4681	1000716	geestelijk		1631.0	topic 22	topic 24	topic 18
34	155.0	20104	1010003	wereldlijk	911101.0	1654.0	topic 47	topic 3	topic 16
35	155.0	20104	1001026	wereldlijk		1654.0	topic 47	topic 3	topic 16
36	162.0	6810	1016380	geestelijk	922497.0	1722.0	topic 5	topic 3	topic 41
37	162.0	6810	1000746	geestelijk		1637.0	topic 5	topic 3	topic 41
38	164.0	111878	1001159	wereldlijk		1710.0	topic 30	topic 26	topic 3
39	164.0	147333	1004274	wereldlijk		1700.0	topic 30	topic 26	topic 3
40	164.0	185903	1004274	wereldlijk		1700.0	topic 30	topic 26	topic 3
41	172.0	34038	1011046	geestelijk		1654.0	topic 40	topic 19	topic 18
42	174.0	20440	1002001	geestelijk	910477.0	1694.0	topic 18	topic 27	topic 19
43	174.0	20440	1001035	geestelijk	921636.0	1655.0	topic 18	topic 27	topic 19
44	174.0	20440	1010227	geestelijk	929506.0	1700.0	topic 18	topic 27	topic 19
45	174.0	20440	1016932	geestelijk		1649.0	topic 18	topic 27	topic 19
46	178.0	8040	1000773	geestelijk		1644.0	topic 31	topic 13	topic 18
47	183.0	5021	1000728	geestelijk		1637.0	topic 19	topic 12	topic 18
48	188.0	8922	1004295	geestelijk	911880.0	1647.0	topic 6	topic 19	topic 7
49	188.0	8922	1000812	geestelijk		1625.0	topic 6	topic 19	topic 7
50	192.0	3575	1000692	wereldlijk		1613.0	topic 21	topic 19	topic 27
51	194.0	5029	1000728	geestelijk		1637.0	topic 40	topic 16	topic 42
52	201.0	115816	1016154	geestelijk		1681.0	topic 28	topic 16	topic 22
53	201.0	115816	1001338	geestelijk	920352.0	1692.0	topic 28	topic 16	topic 22
54	201.0	147338	1001676	geestelijk		1664.0	topic 28	topic 16	topic 22
55	206.0	22996	1000208	geestelijk	901517.0	1598.0	topic 0	topic 31	topic 21
56	206.0	147450	1001607	geestelijk		1625.0	topic 0	topic 31	topic 21
57	206.0	147452	1001827	geestelijk		1650.0	topic 0	topic 31	topic 21
58	206.0	147453	1001900	geestelijk		1679.0	topic 0	topic 31	topic 21
59	206.0	22996	1000207	geestelijk		1593.0	topic 0	topic 31	topic 21
60	213.0	147456	1001707	wereldlijk		1633.0	topic 23	topic 24	topic 2
61	215.0	130684	1016158	wereldlijk		1711.0	topic 38	topic 39	topic 28
62	215.0	189649	1016143	wereldlijk		1750.0	topic 38	topic 39	topic 28
63	215.0	130684	1001386	wereldlijk	926959.0	1745.0	topic 38	topic 39	topic 28
64	215.0	130684	1001443	wereldlijk	911132.0	1750.0	topic 38	topic 39	topic 28
65	218.0	8186	1000775	wereldlijk		1678.0	topic 39	topic 38	topic 24
66	220.0	102915	1000696	wereldlijk		1656.0	topic 24	topic 38	topic 23
67	222.0	32535	1011033	wereldlijk		1667.0	topic 39	topic 10	topic 4
68	223.0	147533	1001882			1641.0	topic 21	topic 14	topic 19
69	225.0	184881	1001544	geestelijk	918403.0	1657.0	topic 18	topic 44	topic 36
70	225.0	184881	1016946	geestelijk	918432.0	1642.0	topic 18	topic 44	topic 36
71	225.0	184881	1001676	geestelijk	918463.0	1664.0	topic 18	topic 44	topic 36
72	225.0	184881	1016155	geestelijk		1639.0	topic 18	topic 44	topic 36
73	229.0	147541	1017294	geestelijk		1636.0	topic 31	topic 13	topic 19
74	229.0	147542	1001900	geestelijk		1679.0	topic 31	topic 13	topic 19
75	229.0	147539	1001827	geestelijk		1650.0	topic 31	topic 13	topic 19
76	229.0	147541	1001890	geestelijk	922132.0	1657.0	topic 31	topic 13	topic 19
77	231.0	32841	1010998	geestelijk	916110.0	1671.0	topic 1	topic 46	topic 4
78	231.0	34739	1015344	geestelijk	925715.0	1701.0	topic 1	topic 46	topic 4
79	231.0	191536	1010250	geestelijk		1736.0	topic 1	topic 46	topic 4
80	231.0	32841	1001567	geestelijk		1645.0	topic 1	topic 46	topic 4
