topic	weight	words
0	0,00126	uwz fen god gunnen toe mei him naad sil uwt dear ijn hert ney oer for goads trog ynn wol 
1	0,06174	groen mey vruchten tijd bloeien groeien vrucht kruid veld boom winter vol gras planten spruit bomen zieden vreugde bloemen weer 
2	0,00416	lief schoen int deur voer goed groet credijt toch veenes tis oeck soe hij waar dochter liefde prinse prijs schoene 
3	0,06777	lief troost liefde zwaar hart enten dood druk deur pijn vreugde zondaar reen god voorwaar noot klaar verdriet tijd lijden 
4	0,08873	wereld tijd eeuwig mens godt sterven doden kwaad wilt vreugde zonde vergaan ziel haast vlees einde deugd dood pijn och 
5	0,00592	heyligt adieu liefd gunst kunnen lieven blijk bloeien aensiet liefde wezen oorlof vvt bestaan armen elk zondaar kunst feest tonen 
6	0,06045	kwaad vals tong boos schijn vol haat spreken venijn bedrog woorden waarheid snood mond bedriegen list twist daad zelf nijd 
7	0,02382	jesus iesus petrus vinden zegge mens doden woord geloof soon zijd zenden jesum gelijk godt geven spreken heel goodts vragen 
8	0,01118	god elk zeer deur zulk dag zoo volk tis zien huur vvant jck ende voren dies helpen meest kerk ghelt 
9	0,16016	gheen ghelijck zieden enten god godt sijn zondaar ding gheven recht waard gods dag blijven deur sal wort nae oft 
10	0,0275	brand venus cupido schicht vier min pijl vlam kracht wicht gezicht pijlen klein bogen goden boog hart branden schieten heel 
11	0,01321	alzo lief vader dag och moeder over jong ende kind slapen waar ruyter goed stout groen nacht rijden willen onder 
12	0,00469	end dijn deinen amor god huur fijn dyne myn vrij heb gheboden zek weeg dyn mit męr dyner recht gaar 
13	0,02979	wijn drinken laet glas eens bier bacchus lustig vrolijk wyn nat vol brengen edel bachus maken vat schenk schenken drinckt 
14	0,01985	god hemels godes haer grond ziel waer deugd woord wilt worden aard zonde zond och welck goods hof lof waard 
15	0,06749	vreugde zingen vrolijk blij zang spelen springen verheugd deugd spel verblijd lof hoog blijdschap tijd vol horen feest verheugen geluid 
16	0,03176	moeder maria godt soon maghet godts maeght hemels zuiver kind groeten zondaar troon lof boven maagd reen vader deugd maget 
17	0,17464	ben heb och waar eens lang weet zieden sou lief soud wees mijnen toe neen spreken vinden maken waer alleen 
18	0,06217	vijand strijd macht geweld kracht sterk strijden tegen bloed veld brengen vrij vrede hulp zwaard hand kloek volk slaan onder 
19	0,0322	kruis bloed lijden kruys doden sijn cruys siet jesu dood vader wonden roepen dragen jesus lam pijn hoofd doorn handen 
20	0,013	nieuw iaer jaar nieuwen jaer int oude tijd wilt nieuwe iaar iare zalig oud nieuwejaer enten zwaar god gaar voorwaar 
21	0,04874	vreugde man vrede trouw twee wens vrouw bruydt bruydegom echt bruyt liefde paar trouwen deugd mede zegen geluk band samen 
22	0,00326	vive dobbe tsa geus tha iob dop dob job satan dies christvs drom hun onder hoo hop't quickmen hadd vvereldt 
23	0,05043	god volk hoog heere huis hand macht heeren naâm zijne waard vol syn heeft grond geslacht gods land vijand koning 
24	0,02035	dijn end godt dijnen dies syn woort heere eewicheyt noot enten recht haer siel eewich volck dijner over vrij doot 
25	0,00543	wiens worden zek leiden sijn gelijk zieden mits thans daarom waar noden dies ieder uyt samen heden dees staag hoord 
26	0,03832	hert hun myn oft naer gheen eens toch aen heel woord n't min laet godt syn alleen uyt pijn zondaar 
27	0,00894	vijf drie honderd twee klok jaar boire tien noe vier dagen tijd duizend seef besje tellen cessie twaalf waeltje slaan 
28	0,05602	min liefde zoo hart ziel hert myn smart ach nooit eens nog beminnen minnen zin neen zinnen vrij ogen leggen 
29	0,02037	zoo zoete myn kom bom eens nooit lang zie zonder nog zeer meisje zyn zal zede damon zinnen roosje toch 
30	0,06329	spreken godt waren haer laten zondaar ginck ten heere twee heeren huis heeft haren coninck vrij zaak dood vier moeten 
31	0,02852	vader godt bidden heilig soon hart gheest amen christ naâm god dijn gheeft hemel heere recht geeft christum bereid kracht 
32	0,00752	hij ghij wij dij sij dijn god ende toch zijd ten altyt minnen wijl iesus leiden tijd zeer hen vijf 
33	0,01579	herder schapen schaepkens herders weide wolf harder keren wederom weer wolven schaap stal loop alleen slapen zoeken schaepken keert vee 
34	0,04669	lief trouw adieu ach min ben liefde heb hert jong beminnen eens trouwen wilt scholen spreken liefste engel kom wees 
35	0,05973	god gods christus wart enten wereld ende mens heere dood toch wort spreken sijn gheen godt wees rijk wilt christum 
36	0,02874	landt goed gheen stadt woord heel doodt haer ieder schat sijn wereldt koningh zoeken lust goudt deught me'e waer wordt 
37	0,10315	lof god prijs loven boven godt hoog naâm zingen sijn mens hemel grond heere looft maken prijzen heeren goedheid geven 
38	0,00803	n't viva evoe die't op't vaak bloed syn zek deur kind worden moeder licht waard door't zieden jeder wakker dies 
39	0,01802	end godt hen zien n't wees kracht myn gans deur dies maken volk vol prijzen spreken boos tijd vast gemeen 
40	0,02621	jij neen eens kom nauw weer heb ben vrij heen hey waar mede meysje weet loop nou och bent sou 
41	0,11897	kwaad god straf boos tegen bloed mens gods volk zelf slaan worden over wraak schuld hand recht toorn waar schande 
42	0,09038	man maken vrij eens krijgen best mede gelt ander oud trouwen goed weet dag twee loop gelijk koop huis zieden 
43	0,0092	godt hert ten godts kracht mens deuchdt woord waer node wij goedtheydt diep ach off lijk hoop ramp trouw veer 
44	0,14244	godt god wilt gods heeren laet liefde godts hart christus tijd goed recht altijd wart wees moeten vrienden heere werk 
45	0,01186	prins moeten graef paus stad enten geusen brengen menig geus jck krijgen landen papen steden klein binnen schande macht willen 
46	0,01014	christus spreken heere christum water sprack vrouken ende iesus gods geloof wart zeer petrus ioden heeren ginck enten doop vragen 
47	0,0037	baard droefheid hond vro hondt haer benedicamus ongebonden domino vreugde welcke welke glans philis dies genot nat hert blank zee 
48	0,02135	godt sint godes doden godts hemels haer hart sijn geloof goods deugd heel vroom ziel noden aen woord kerck bidden 
49	0,00694	wen wijl celestyn gemoed celestyne hart wij maagd minne zen leed foey minnespel toen tgun fidamant heu verbetering harten mijne 
50	0,05264	zee schip wind water baren varen weer winden mede ree heen land grond woeste hoog storm voeren drijven menig zeil 
51	0,01998	zoo zeer zich zelfs zonder wezen staat kwaad zal zenden iezus ziet godt gods nooit zien zult waar wort naar 
52	0,02881	mond kusje ach kussen lipje kus lust lusjes zieltje lippen ziel lief kust nectar kom weer vreugde rood waar blussen 
53	0,00864	boer geld hun goed boeren ian meest hansken loure griet hans woord laden stront vos moeder koopman jan sou scene 
54	0,11133	ziel god hulp hand ben kracht heb mijne hoop hart vast gunst vrees troost hert dies genade wacht ten oog 
55	0,00315	menen meysje jeck jij heb toe zien bie miede fal kooptmen moy ond jou mit durch zate deur wier faderie 
56	0,03508	zich naar zeer nooit zyn hun worden zelf zal jezus zonder weder hen zult wezen eens gods oog staat wereld 
57	0,00381	schip werk schipper verstand wever ionas hand naboth gevallen achab schaar drek arm weven babels woord volk hebdy baals paulus 
58	0,01695	godt godts deugd boven goed waer vreugde eeuwig altijd licht eens heeft hert loven hen wonder geniet doden ziel aen 
59	0,00661	ghoed lust elk deugd kwaad god waard enten lieven goods gheen mens zeer waan maackt waarheid begeren dees kennis elck 
60	0,01508	prins weer mede oranje kant schepen vloot lustig landt koning soldaten land roepen aen heel verheven lang edel vier braaf 
61	0,02754	kind mens stal godt klein kindt moeder siet geboren arm vinden doek kinnetje leed beest teer bethlehem gheboren komt nacht 
62	0,0352	vreugde bruydegom hemels klaar scholen wees troon boven reen fijn eeuwig blinken bereid siet rijk stad bruyt hoog ontvangen loon 
63	0,00402	alleluja deur vis kleur houje net vissen vangen leen oordje woortje netten jemie angel visscher arion visschen werpen haringh simon 
64	0,08633	licht dag nacht gezicht ogen son zon oog hemel glans stralen dalen schijnen klaar hemels duister verdwijnen hoog wanneer sterren 
65	0,00543	lier jij zein jan datsen tiere gieren tieren nauw knecht kees krelis claes kniertje zien pieragie lang melis oud wangt 
66	0,01845	volk godt israel david gods abraham moyses ioseph worden egypten doe sijn daniel iacob pharao jacob geven moses elias man 
67	0,00718	jagen vangen jager daerje lucht iager jacht vlucht alleen glas vrij net waer weg gevangen veld vliegen dier bos weeg 
68	0,04069	groen vee harder min ach coridon herder schaepjes onder waer herderin herders lief cloris son gras wout phillis mede tyter 
