topic	weight	words
0	0,1232	vreugde ziel wereld eeuwig hemels hert deugd vol rust lust boven hoog lof goed zingen hemel gemoed rijk blij god 
1	0,03408	hemels god godes sint haer deugd lof goods maeght bidden aen woord hart hof moeder grond waer waard heeft soon 
2	0,09528	min zieden lust sou eens waer neen vrij minnen vreugde zin n't waar gheen wees siet reden jong maeght weet 
3	0,01592	vvant n't goden venus comt vvilt cupido kunnen pallas deur gunst liefd mars apollo phoebus diana oock vvat pan orpheus 
4	0,03191	zee schip mede varen weer wind baren voort landt ree menig land vis schipper water schepen grond mof vol goed 
5	0,05594	groen mey vruchten vrucht groeien vol bloeien kruid zingen vreugde siet tijd zieden winter boom planten hof spruit lof bloemen 
6	0,05179	zien roepen denken doe scheen weer wier voort laten heel lach toen neer viel schoot quam nemen sijn haast kennen 
7	0,05478	lief nog heb ben dog trouw spreken eens jong zeer vrouw kind ach trouwen geven weg dagen heel magge min 
8	0,1078	spreken vader waar man laten alzo ende waren moeder ginck haer twee nemen willen dag over roepen zaak vinden toe 
9	0,02473	hun godt volk naar myn heil woord hen nooit ziel hart elk zyn recht godts dies zich zal zoo heeren 
10	0,21113	dag tijd nacht licht lang weer heen waar eens zieden haast einde ten jaar wanneer scene gelijk wind weder blijven 
11	0,06249	venus glans mond haer oog roos wit schoonheid ogen gezicht stralen twee hemel brand leden net rood lippen scholen hoog 
12	0,01743	lust baard ghoed maackt elk waard dees mens zelf deugd staat enten waan zot iaar goods n't dood schijn pracht 
13	0,07706	min liefde hert ach hart ziel smart lief minnen zin myn beminnen eens vreugde trouw heb pijn neen vol brand 
14	0,05212	vreugde man vrede trouw twee liefde wens vrouw bruydegom bruydt bruyt echt trouwen paar mede lieven deugd samen geluk band 
15	0,06481	godt dijn heere vader end bidden heilig naem lof recht loven prijs gheest hart laet genade soon noot altijd danken 
16	0,04094	wijn drinken vrolijk vreugde laet eens glas lustig zingen vol bier brengen maken wyn bacchus nat drank vat edel dit 
17	0,05494	godt maria kind moeder lof soon geboren nieuw stal mens boven klein hemels zingen maghet gheboren godts brengen kinnetje iaer 
18	0,01016	hij ghij wij god dij sij int amor toch schoen viva groet goed deur dijn lief voer oeck altyt zijd 
19	0,04345	liefde lief adieu lieven hart beminnen hert ben liefd mijnen heb och min minnen vinden vriend bruydegom scheiden iesus vriendin 
20	0,06335	vijand macht volk strijd land geweld hand bloed tegen stad kracht zwaard strijden hulp veld hoofd sterk vrede held vorst 
21	0,02087	prins moeten graef paus god stad waren brengen jck geus edel kloek waard krijgen maken papen menig ten binnen haast 
22	0,01705	kom eens deur mede hey weer kleur tsa houje vrij jij kusje evoe schier kussen leen voort twee klok woortje 
23	0,02784	godt ziel godts liefde vinden zelf vreugde haren blij n't boven haer worden hert heel wees licht rust klaar troost 
24	0,01124	hun godt geven waar kwaad vreugde gods vrome wees dood eeuwig oock staat naar deese licht zieden sal nooit deugd 
25	0,03143	end dijn godt god hun hen vijand myn dies vrij volk heere maken weeg zien fijn waard recht spreken kracht 
26	0,11696	god lof hoog volk sijn naâm heere grond heeren hemel macht boven zingen maken hand over prijs kracht werk zek 
27	0,03395	zoo zeer god zonder zelfs waar zich nooit goed zien worden staat zult zal iesus zenden zoon waard toch onz 
28	0,00147	uwz fen god gunnen toe mei him naad sil uwt dear ijn hert ney oer for trog wol goads ynn 
29	0,25292	god goed mens waar kwaad recht gods waard zelf hert alleen wet maken woord hart deugd zek geven lust ziel 
30	0,00277	ich das mein vnnd mir ein mich nitt zei dir sein dich hertz lieb und jch mitt hab dein woll 
31	0,04083	hert hun eens naer liefde oft myn vier min gheen toch aen n't geven heel woord licht laet minnen vinden 
32	0,03287	jesus iesus spreken weer geven zegge vinden vragen vader godt petrus woord sijn twee mens christus zenden geloof doden meester 
33	0,09513	ach dood droef ziel smart hart zucht hert pijn wreed tranen sterven doden droevig graf klacht rouw klagen straf leed 
34	0,0659	god heere ende enten gods christus wart dood wilt wereld zonde godt mens toch zondaar eeuwig sijn wees lijden indië 
35	0,04754	groen herder vee harder min ach lief coridon onder waer herderin schaepjes herders veld gras son weide lust vreugde cloris 
36	0,1312	godt zonde doden godts mens ziel eeuwig wilt bloed lijden sterven kwaad sijn siet dood wereld iesu laet zondaar liefde 
37	0,05972	ziel hert nog zich kracht gods god heil eeuwig jesus kom ten bloed dood ach gunst vader worden hart genade 
38	0,01803	jij neen nauw och heb vrij waar nou loop heen besje jan kom weet jou iou eens zien mooi kees 
39	0,0033	vous kwee qui mon bom les poeder miin plus alleluja pour bon been vos suizen coeur zien dans que touwen 
40	0,12578	gheen godt god mens zieden kwaad zelf ghelijck wort sijn tijd ander wereld werk rijk niemand waard waar zoeken elk 
41	0,06493	lief liefde enten hart vreugde hert reen haer troost deur klaar minnen venus princesse zwaar pijn gheen deugd int eerbaar 
42	0,14595	godt god gods heere wees heeren enten zondaar wilt laet blijven tijd hart moeten reen recht altijd godts elk klaar 
43	0,25864	ben heb och wilt lang hert ziel eens wees troost mijnen zwaar hart tijd waar lijden pijn mijne verdriet laet 
44	0,01693	godt hert ten godts zek ramp woord waer ren ziel heil oog heen noden mens kracht laet lijk dies diep 
45	0,05809	christus gods geloof dit paulus nieuw klaar werk spreken god horen christen wart ten eerst wet woorden heeren waard zelf 
46	0,0316	godt volk israel spreken coninck heere david gods water abraham man doe heeren heeft zondaar iacob moyses ioseph laten maken 
47	0,07083	nog zeer zoo naar nooit staat zal zonder myn zyn zich waar zult eens magge wezen tij worden zien dog 
48	0,10937	kwaad boos vol vals tegen haat straf tong snood schande god haer slaan recht bloed boosheid worden zelf spreken spot 
49	0,0603	maken man geld goed gelt heel mede boer krijgen sou zondaar eens twee best huis heb fraai kost gelijk halen 
