	incnormid	recordid	bronid	w_g	herdrukid	jaar_begin	dominant_topic	perc_contribution
0	4.0	118999	1001206	wereldlijk		1745.0	45	0.6360004907113191
1	7.0	111832	1001390	wereldlijk		1745.0	23	0.35660694233239193
2	7.0	136573	1001829	wereldlijk		1746.0	23	0.35660694233239193
3	13.0	19499	1000978	wereldlijk		1677.0	34	0.5385152112665793
4	53.0	20031	1001550	wereldlijk	928216.0	1654.0	43	0.964480111359834
5	53.0	20031	1001025	wereldlijk		1655.0	43	0.964480111359834
6	71.0	6245	1000738	wereldlijk		1659.0	43	0.9803276676077376
7	72.0	32562	1011033	wereldlijk		1667.0	29	0.2964428059767941
8	73.0	136601	1001829	wereldlijk		1746.0	29	0.3382551007265481
9	74.0	103064	1000696	wereldlijk		1656.0	29	0.4895756842102258
10	91.0	14847	1000113	geestelijk	906277.0	1566.0	6	0.3894576467393082
11	91.0	26828	1000109	geestelijk	906027.0	1561.0	6	0.3894576467393082
12	91.0	26828	1000111	geestelijk	906093.0	1561.0	6	0.3894576467393082
13	91.0	190196	1000112	geestelijk		1561.0	6	0.3894576467393082
14	91.0	14847	1000114	geestelijk		1566.0	6	0.3894576467393082
15	91.0	26828	1000446	geestelijk		1559.0	6	0.3894576467393082
16	109.0	116966	1001202	geestelijk		1709.0	36	0.19071122018974387
17	112.0	111775	1001390	wereldlijk		1745.0	38	0.3866614923695275
18	112.0	147330	1001829	wereldlijk		1746.0	38	0.3866614923695275
19	130.0	22279	1000137	geestelijk		1565.0	6	0.4864444811109827
20	130.0	22279	1000176	geestelijk	907157.0	1567.0	6	0.4864444811109827
21	130.0	22279	1000243	geestelijk	906513.0	1567.0	6	0.4864444811109827
22	138.0	6242	1000738	wereldlijk		1659.0	23	0.3283912278014353
23	138.0	186344	1001140	wereldlijk		1725.0	23	0.3283912278014353
24	141.0	116406	1001338	geestelijk	920504.0	1692.0	28	0.4247700721004958
25	141.0	118227	1001323	geestelijk		1732.0	28	0.4247700721004958
26	141.0	147332	1001304	geestelijk	910281.0	1736.0	28	0.4247700721004958
27	141.0	148207	1001307	geestelijk		1700.0	28	0.4247700721004958
28	141.0	116406	1016154	geestelijk		1681.0	28	0.4247700721004958
29	141.0	147332	1000977	geestelijk		1732.0	28	0.4247700721004958
30	142.0	150595	1010500	geestelijk		1630.0	33	0.5439236254772386
31	142.0	150595	1001282	geestelijk	917315.0	1694.0	33	0.5439236254772386
32	143.0	34059	1011050	geestelijk		1660.0	0	0.4063450626547837
33	144.0	4681	1000716	geestelijk		1631.0	22	0.7016045513092771
34	155.0	20104	1010003	wereldlijk	911101.0	1654.0	47	0.3979399702985257
35	155.0	20104	1001026	wereldlijk		1654.0	47	0.3979399702985257
36	162.0	6810	1016380	geestelijk	922497.0	1722.0	5	0.2767435858594177
37	162.0	6810	1000746	geestelijk		1637.0	5	0.2767435858594177
38	164.0	111878	1001159	wereldlijk		1710.0	30	0.4153155745650727
39	164.0	147333	1004274	wereldlijk		1700.0	30	0.4153155745650727
40	164.0	185903	1004274	wereldlijk		1700.0	30	0.4153155745650727
41	172.0	34038	1011046	geestelijk		1654.0	40	0.3858994467659455
42	174.0	20440	1002001	geestelijk	910477.0	1694.0	18	0.3932305000841163
43	174.0	20440	1001035	geestelijk	921636.0	1655.0	18	0.3932305000841163
44	174.0	20440	1010227	geestelijk	929506.0	1700.0	18	0.3932305000841163
45	174.0	20440	1016932	geestelijk		1649.0	18	0.3932305000841163
46	178.0	8040	1000773	geestelijk		1644.0	31	0.2926697912780524
47	183.0	5021	1000728	geestelijk		1637.0	19	0.3739135078989816
48	188.0	8922	1004295	geestelijk	911880.0	1647.0	6	0.3746758447109113
49	188.0	8922	1000812	geestelijk		1625.0	6	0.3746758447109113
50	192.0	3575	1000692	wereldlijk		1613.0	21	0.3151975910371452
51	194.0	5029	1000728	geestelijk		1637.0	40	0.310020020602846
52	201.0	115816	1016154	geestelijk		1681.0	28	0.4441297509304264
53	201.0	115816	1001338	geestelijk	920352.0	1692.0	28	0.4441297509304264
54	201.0	147338	1001676	geestelijk		1664.0	28	0.4441297509304264
55	206.0	22996	1000208	geestelijk	901517.0	1598.0	0	0.3872736892971584
56	206.0	147450	1001607	geestelijk		1625.0	0	0.3872736892971584
57	206.0	147452	1001827	geestelijk		1650.0	0	0.3872736892971584
58	206.0	147453	1001900	geestelijk		1679.0	0	0.3872736892971584
59	206.0	22996	1000207	geestelijk		1593.0	0	0.3872736892971584
60	213.0	147456	1001707	wereldlijk		1633.0	23	0.5403923647313921
61	215.0	130684	1016158	wereldlijk		1711.0	38	0.5744285994171984
62	215.0	189649	1016143	wereldlijk		1750.0	38	0.5744285994171984
63	215.0	130684	1001386	wereldlijk	926959.0	1745.0	38	0.5744285994171984
64	215.0	130684	1001443	wereldlijk	911132.0	1750.0	38	0.5744285994171984
65	218.0	8186	1000775	wereldlijk		1678.0	39	0.44045792301438813
66	220.0	102915	1000696	wereldlijk		1656.0	24	0.23389725180271784
67	222.0	32535	1011033	wereldlijk		1667.0	39	0.2907889138736328
68	223.0	147533	1001882			1641.0	21	0.4725878056972288
69	225.0	184881	1001544	geestelijk	918403.0	1657.0	18	0.3257868619870753
70	225.0	184881	1016946	geestelijk	918432.0	1642.0	18	0.3257868619870753
71	225.0	184881	1001676	geestelijk	918463.0	1664.0	18	0.3257868619870753
72	225.0	184881	1016155	geestelijk		1639.0	18	0.3257868619870753
73	229.0	147541	1017294	geestelijk		1636.0	31	0.3939667679024573
74	229.0	147542	1001900	geestelijk		1679.0	31	0.3939667679024573
75	229.0	147539	1001827	geestelijk		1650.0	31	0.3939667679024573
76	229.0	147541	1001890	geestelijk	922132.0	1657.0	31	0.3939667679024573
77	231.0	32841	1010998	geestelijk	916110.0	1671.0	1	0.2585054675392505
78	231.0	34739	1015344	geestelijk	925715.0	1701.0	1	0.2585054675392505
79	231.0	191536	1010250	geestelijk		1736.0	1	0.2585054675392505
80	231.0	32841	1001567	geestelijk		1645.0	1	0.2585054675392505
81	231.0	34739	1011324	geestelijk		1684.0	1	0.2585054675392505
82	238.0	33686	1011046	geestelijk		1654.0	40	0.5843536270393456
83	240.0	20385	1001034	wereldlijk		1647.0	10	0.4185631371452781
84	240.0	114044	1001171	wereldlijk		1649.0	10	0.4185631371452781
85	240.0	10364	1000837	wereldlijk		1645.0	10	0.4185631371452781
86	242.0	33531	1011034	geestelijk		1614.0	15	0.3242076100940974
87	243.0	147554	1001829	wereldlijk		1746.0	3	0.2963011621495408
88	244.0	115471	1001167	wereldlijk		1678.0	3	0.3402401050444872
89	244.0	115509	1001153	wereldlijk		1682.0	3	0.3402401050444872
90	244.0	116286	1001162	wereldlijk		1678.0	3	0.3402401050444872
91	244.0	147555	1001642	wereldlijk		1681.0	3	0.3402401050444872
92	245.0	147556	1001829	wereldlijk		1746.0	3	0.31853932553518083
93	249.0	192830	1001887	wereldlijk		1721.0	30	0.5111886996877245
94	249.0	147561	1001829	wereldlijk		1746.0	30	0.5111886996877245
95	253.0	185691	1016347	geestelijk		1655.0	31	0.5324989346635921
96	253.0	185691	1016205	geestelijk	928865.0	1664.0	31	0.5324989346635921
97	253.0	9352	1007775	geestelijk		1600.0	31	0.5324989346635921
98	255.0	147562	1001829	wereldlijk		1746.0	32	0.4937502575044362
99	255.0	175842	1015648	wereldlijk		1663.0	32	0.4937502575044362
100	257.0	24408	1000406	geestelijk		1590.0	9	0.5411387739310021
101	257.0	3941	1000185	geestelijk	900298.0	1576.0	9	0.5411387739310021
102	257.0	7152	1000178	geestelijk		1577.0	9	0.5411387739310021
103	257.0	197158	1001856	geestelijk		1617.0	9	0.5411387739310021
104	258.0	28610	1006719	geestelijk		1580.0	36	0.16989787194896994
105	259.0	165276	1010901	wereldlijk		1695.0	11	0.6681439518426848
106	259.0	147563	1016224	wereldlijk		1730.0	11	0.6681439518426848
107	259.0	122675	1016405	wereldlijk		1684.0	11	0.6681439518426848
108	259.0	192258	1017307	wereldlijk		1675.0	11	0.6681439518426848
109	259.0	165276	1001831	wereldlijk	916126.0	1703.0	11	0.6681439518426848
110	259.0	151174	1001829	wereldlijk		1746.0	11	0.6681439518426848
111	259.0	122675	1001862	wereldlijk	929281.0	1717.0	11	0.6681439518426848
112	259.0	115731	1001164	wereldlijk		1694.0	11	0.6681439518426848
113	259.0	167812	1001413	wereldlijk		1680.0	11	0.6681439518426848
114	261.0	115755	1001164	wereldlijk		1694.0	25	0.2810338744986717
115	261.0	147569	1001829	wereldlijk		1746.0	25	0.2810338744986717
116	261.0	166902	1004274	wereldlijk		1700.0	25	0.2810338744986717
117	261.0	147565	1016224	wereldlijk en geestelijk		1730.0	25	0.2810338744986717
118	262.0	19188	1001531	geestelijk	909270.0	1577.0	31	0.9518590563268836
119	262.0	21285	1000082	geestelijk	900679.0	1563.0	31	0.9518590563268836
120	262.0	21285	1000427	geestelijk	900905.0	1580.0	31	0.9518590563268836
121	262.0	28544	1006709	geestelijk		1585.0	31	0.9518590563268836
122	262.0	21285	1000131	geestelijk	900906.0	1595.0	31	0.9518590563268836
123	262.0	118228	1001323	geestelijk		1732.0	31	0.9518590563268836
124	262.0	19188	1000092	geestelijk	902942.0	1589.0	31	0.9518590563268836
125	262.0	176625	1016078	wereldlijk		1683.0	31	0.9518590563268836
126	262.0	188992	1016327	geestelijk		1609.0	31	0.9518590563268836
